user,cond,successes,failures,resets,slogintime,maxmemtime,totalLastingSuccess,avgLeadingFailures
pm101,pm,2,4,2,6.5,0.02,0,2
pm102,pm,2,0,0,10.5,162.88,1,0
pm103,pm,1,0,0,9,219.71,1,0
pm104,pm,2,0,0,8,177.46,1,0
pm105,pm,2,0,0,11,162.37,1,0
pm106,pm,2,1,0,12,164.84,1,0.5
pm107,pm,2,3,1,5,41.32,0,1.5
pm108,pm,2,0,0,4.5,221.03,1,0
pm109,pm,2,4,0,13.5,163.16,1,2
pm110,pm,2,0,0,36.5,551.26,1,0
pm201,pm,2,0,0,8,163.01,1,0
pm202,pm,2,0,0,6,164.61,1,0
pm203,pm,2,2,0,6,170.73,0,0
pm204,pm,2,1,0,24.5,163.08,1,0.5
pm205,pm,1,1,0,7,0.02,1,1
pm206,pm,2,0,0,5.5,175.76,1,0
pm207,pm,2,4,1,4.5,168.54,0,0
pm208,pm,1,0,0,4,135.84,1,0.5
pm210,pm,2,0,0,6,145.29,1,0
pm211,pm,2,1,0,8,162.45,1,0
pm212,pm,2,2,0,4,151.02,1,1
pm214,pm,0,3,1,6.5,241.60,1,1.5
pm215,pm,1,0,0,5,174.05,0,0
pm216,pm,2,2,0,10,186.58,1,0
pm217,pm,2,1,0,5,162.85,1,2
pm218,pm,1,1,1,9.5,168.34,0,0
pm219,pm,0,4,2,8,165.21,1,1
pw102,pw,2,0,0,8,164.11,1,0
pw103,pw,2,0,0,16.5,160.58,1,0
pw104,pw,2,0,0,10,168.68,1,0
pw105,pw,2,0,0,6.5,165.81,1,0
pw106,pw,2,0,0,5,291.67,1,0
pw107,pw,2,1,0,8.5,173.48,1,0.5
pw108,pw,2,0,0,8,265.99,1,0
pw109,pw,2,12,1,16,70.50,0,6
pw110,pw,3,0,0,10.33,171.16,1,0
pw111,pw,2,0,0,17,164.36,1,0
pw112,pw,2,0,0,9.5,639.53,1,0
pw201,pw,2,0,0,7.5,166.47,1,0
pw202,pw,2,0,0,5.5,164.22,1,0
pw203,pw,2,0,0,9.5,196.75,1,0
pw204,pw,1,0,0,7,167.53,1,0
pw205,pw,1,0,0,8,251.40,1,0
pw206,pw,2,0,0,7,211.39,1,0
pw207,pw,1,0,0,9.5,168.35,1,0
pw208,pw,2,0,0,11,166.45,0,0
pw209,pw,2,0,0,13,184.51,1,0
pw210,pw,2,0,0,10.5,196.00,1,0.5
pw211,pw,1,0,0,6,206.75,1,0
pw212,pw,2,0,0,14,220.68,1,0
pw213,pw,2,3,0,9.5,298.34,1,1
pw214,pw,2,0,0,8.5,214.52,0,0
pw215,pw,3,0,0,6,197.42,0,0
pw216,pw,2,0,0,15,185.21,1,0
pw217,pw,2,1,0,12,196.24,1,0